geneID M6_C M6_C M6_C M6_F M6_F M6_F
Dgal_TRINITY.DN10131.c0.g1.i1 450 462 428 456 464 604
Dgal_TRINITY.DN10132.c0.g1.i1 306 336 326 324 268 390
Dgal_TRINITY.DN10132.c0.g1.i2 48 36 50 66 46 58
Dgal_TRINITY.DN10133.c0.g1.i1 170 216 222 206 208 240
Dgal_TRINITY.DN10134.c0.g1.i1 52 64 32 42 32 30
Dgal_TRINITY.DN10135.c0.g1.i1 328 276 220 254 320 368
Dgal_TRINITY.DN10136.c0.g1.i1 218 198 242 216 300 282
Dgal_TRINITY.DN10136.c0.g2.i1 320 208 278 260 298 350
Dgal_TRINITY.DN10137.c0.g1.i1 1474 2122 1774 2004 1624 1884
Dgal_TRINITY.DN10138.c0.g1.i1 972 1118 1040 880 794 670
Dgal_TRINITY.DN10139.c0.g2.i1 32 30 40 28 42 60
Dgal_TRINITY.DN1013.c0.g1.i1 1682 1746 1788 1952 1794 2210
Dgal_TRINITY.DN10140.c0.g1.i1 28 18 20 34 24 30
Dgal_TRINITY.DN10141.c0.g1.i1 220 232 206 232 196 256
Dgal_TRINITY.DN10142.c0.g1.i1 454 502 522 508 584 674
Dgal_TRINITY.DN10143.c0.g1.i2 1740 1800 1852 1794 1908 2108
Dgal_TRINITY.DN10144.c0.g1.i1 1960 1878 2028 2022 2074 2626
Dgal_TRINITY.DN10145.c0.g1.i2 658 828 776 768 702 1080
Dgal_TRINITY.DN10146.c0.g1.i1 0 0 0 0 0 0
Dgal_TRINITY.DN10146.c0.g2.i1 20 12 6 6 32 22
Dgal_TRINITY.DN10146.c0.g3.i1 0 0 0 0 0 0
Dgal_TRINITY.DN10147.c0.g1.i1 58 40 56 38 44 74
Dgal_TRINITY.DN10148.c0.g1.i1 1900 1710 1912 1930 1944 2450
Dgal_TRINITY.DN10148.c1.g1.i1 126 144 156 108 136 152
Dgal_TRINITY.DN10149.c0.g1.i1 186 108 76 86 110 128
Dgal_TRINITY.DN1014.c0.g1.i1 78 86 78 76 80 84
Dgal_TRINITY.DN10150.c0.g1.i2 2158 2084 2264 2252 2398 2660
Dgal_TRINITY.DN10151.c0.g1.i1 4 10 2 0 0 2
Dgal_TRINITY.DN10152.c0.g1.i1 78 98 94 134 82 94
Dgal_TRINITY.DN10153.c0.g1.i1 4456 4286 4408 4648 4388 5492
Dgal_TRINITY.DN10154.c0.g1.i1 210 162 148 168 224 210
